,,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC
IN1K,Arinto,0.64,0.9969864389753893,0.7272727272727273,0.9954864593781344,0.0030135610246107484,0.36,0.2727272727272727,0.9925595238095238
IN1K,Bastardo,0.8421052631578947,0.9972589085472215,0.5925925925925926,0.9992509363295881,0.00274109145277847,0.15789473684210525,0.4074074074074074,0.9965277777777778
IN1K,Boal,0.8823529411764706,0.9974987493746873,0.75,0.998997995991984,0.0025012506253126563,0.11764705882352941,0.25,0.9965277777777778
IN1K,Cabernet Franc,0.6842105263157895,0.9982556690755046,0.65,0.9985044865403788,0.00174433092449539,0.3157894736842105,0.35,0.9967757936507936
IN1K,Cabernet Sauvignon,0.9473684210526315,1.0,1.0,0.9997508719481814,0.0,0.05263157894736842,0.0,0.9997519841269841
IN1K,Carignon Noir,0.631578947368421,0.9992524296037877,0.8,0.9982574060243963,0.00074757039621231,0.3684210526315789,0.2,0.9975198412698413
IN1K,Cercial,0.8333333333333334,0.9972389558232931,0.7843137254901961,0.9979904546596332,0.0027610441767068274,0.16666666666666666,0.21568627450980393,0.9952876984126984
IN1K,Chardonnay,0.8421052631578947,0.9985048592075754,0.7272727272727273,0.9992518703241895,0.00149514079242462,0.15789473684210525,0.2727272727272727,0.9977678571428571
IN1K,Codega,0.8266129032258065,0.982183257918552,0.8668076109936576,0.975835908963192,0.017816742081447963,0.17338709677419356,0.1331923890063425,0.9630456349206349
IN1K,Codega do Larinho,0.8831168831168831,0.9896333754740835,0.6238532110091743,0.9977058373693601,0.010366624525916562,0.11688311688311688,0.3761467889908257,0.9875992063492064
IN1K,Cornifesto,0.6666666666666666,0.9982561036372696,0.631578947368421,0.9985048592075754,0.0017438963627304435,0.3333333333333333,0.3684210526315789,0.9967757936507936
IN1K,Donzelinho Branco,0.75,0.9888776541961577,0.5643564356435643,0.9951666242686339,0.011122345803842264,0.25,0.43564356435643564,0.984375
IN1K,Donzelinho Tinto,0.7368421052631579,0.9992524296037877,0.8235294117647058,0.9987546699875467,0.00074757039621231,0.2631578947368421,0.17647058823529413,0.998015873015873
IN1K,Esgana Cao,0.5333333333333333,0.9970014992503748,0.5714285714285714,0.9965034965034965,0.0029985007496251873,0.4666666666666667,0.42857142857142855,0.9935515873015873
IN1K,Fernao Pires,0.8125,0.9977589641434262,0.5909090909090909,0.9992518703241895,0.0022410358565737054,0.1875,0.4090909090909091,0.9970238095238095
IN1K,Folgasao,0.6666666666666666,0.9962235649546828,0.7272727272727273,0.9949710837314558,0.0037764350453172208,0.3333333333333333,0.2727272727272727,0.9913194444444444
IN1K,Gamay,0.7222222222222222,1.0,1.0,0.9987559094302065,0.0,0.2777777777777778,0.0,0.9987599206349206
IN1K,Gouveio,0.5882352941176471,0.9904952476238119,0.3448275862068966,0.9964771011575239,0.009504752376188095,0.4117647058823529,0.6551724137931034,0.9871031746031746
IN1K,Malvasia Corada,0.47368421052631576,0.9960129578868677,0.36,0.997504367357125,0.00398704211313232,0.5263157894736842,0.64,0.9935515873015873
IN1K,Malvasia Fina,0.6344086021505376,0.9923838537699924,0.6629213483146067,0.9913771240172458,0.007616146230007616,0.3655913978494624,0.33707865168539325,0.9841269841269841
IN1K,Malvasia Preta,0.7142857142857143,0.9962537462537463,0.5714285714285714,0.9979984988741556,0.0037462537462537465,0.2857142857142857,0.42857142857142855,0.9942956349206349
IN1K,Malvasia Rei,0.38461538461538464,0.9977533699450823,0.5263157894736842,0.9960129578868677,0.0022466300549176237,0.6153846153846154,0.47368421052631576,0.9937996031746031
IN1K,Merlot,0.7894736842105263,0.9997508098679292,0.9375,0.999003984063745,0.00024919013207077,0.21052631578947367,0.0625,0.9987599206349206
IN1K,Moscatel Galego,0.8232142857142857,0.9821428571428571,0.946611909650924,0.935251798561151,0.017857142857142856,0.1767857142857143,0.053388090349075976,0.9379960317460317
IN1K,Moscatel Galego Roxo,0.7894736842105263,0.9887864440568154,0.25,0.998992950654582,0.01121355594318465,0.21052631578947367,0.75,0.9878472222222222
IN1K,Mourisco Tinto,0.7931034482758621,0.9985011241568823,0.7931034482758621,0.9985011241568823,0.0014988758431176618,0.20689655172413793,0.20689655172413793,0.9970238095238095
IN1K,Pinot Blanc,0.7368421052631579,0.9982556690755046,0.6666666666666666,0.9987534280727998,0.00174433092449539,0.2631578947368421,0.3333333333333333,0.9970238095238095
IN1K,Rabigato,0.8596491228070176,0.9943848902501277,0.8166666666666667,0.9959100204498977,0.005615109749872384,0.14035087719298245,0.18333333333333332,0.9905753968253969
IN1K,Rufete,0.8421052631578947,0.9995016197358585,0.8888888888888888,0.9992526158445441,0.00049838026414154,0.15789473684210525,0.1111111111111111,0.9987599206349206
IN1K,Samarrinho,0.5394736842105263,0.9914054600606673,0.5466666666666666,0.991154915339904,0.008594539939332659,0.4605263157894737,0.4533333333333333,0.9828869047619048
IN1K,Sauvignon Blanc,0.7222222222222222,0.9980069755854509,0.6190476190476191,0.9987534280727998,0.001993024414549078,0.2777777777777778,0.38095238095238093,0.9967757936507936
IN1K,Sousao,0.9574468085106383,0.9992471769134254,0.9375,0.9994979919678715,0.000752823086574655,0.0425531914893617,0.0625,0.9987599206349206
IN1K,Tinta Amarela,0.9322033898305084,0.9964762144475208,0.7971014492753623,0.9989906636386576,0.003523785552479235,0.06779661016949153,0.2028985507246377,0.9955357142857143
IN1K,Tinta Barroca,0.9565217391304348,0.9949533181932879,0.7674418604651163,0.9992397364419665,0.005046681806712087,0.043478260869565216,0.23255813953488372,0.9942956349206349
IN1K,Tinta Femea,0.6875,0.9975099601593626,0.5238095238095238,0.9987534280727998,0.00249003984063745,0.3125,0.47619047619047616,0.9962797619047619
IN1K,Tinta Francisca,0.5263157894736842,0.9987540493396462,0.6666666666666666,0.9977595220313666,0.00124595066035385,0.47368421052631576,0.3333333333333333,0.9965277777777778
IN1K,Tinta Roriz,0.9410187667560321,0.9931675321125991,0.9335106382978723,0.9939824945295405,0.006832467887400929,0.058981233243967826,0.06648936170212766,0.988343253968254
IN1K,Tinto Cao,0.896551724137931,0.9995003747189608,0.9285714285714286,0.9992507492507493,0.0004996252810392206,0.10344827586206896,0.07142857142857142,0.9987599206349206
IN1K,Touriga Francesa,0.9090909090909091,0.9977494373593399,0.7692307692307693,0.9992486851990984,0.002250562640660165,0.09090909090909091,0.23076923076923078,0.9970238095238095
IN1K,Touriga Nacional,0.9379699248120301,0.9974285714285714,0.9822834645669292,0.9906356413166856,0.0025714285714285713,0.06203007518796992,0.017716535433070866,0.9895833333333334
IN1K,Viosinho,0.8787878787878788,0.9977494373593399,0.7631578947368421,0.99899849774662,0.002250562640660165,0.12121212121212122,0.23684210526315788,0.9967757936507936
IN1K → Dataset 3,Alicante,1.0,0.9997509960159362,0.9411764705882353,1.0,0.000249003984063745,0.0,0.058823529411764705,0.9997519841269841
IN1K → Dataset 3,Alveralhao,0.9632352941176471,0.9964065708418891,0.903448275862069,0.9987136609210188,0.003593429158110883,0.03676470588235294,0.09655172413793103,0.9952876984126984
IN1K → Dataset 3,Arinto,0.74,0.994475138121547,0.6271186440677966,0.996727913415555,0.0055248618784530384,0.26,0.3728813559322034,0.9913194444444444
IN1K → Dataset 3,Bastardo,0.6842105263157895,0.9980064789434339,0.6190476190476191,0.9985041136873598,0.00199352105656616,0.3157894736842105,0.38095238095238093,0.9965277777777778
IN1K → Dataset 3,Boal,0.9117647058823529,0.996248124062031,0.6739130434782609,0.9992473657802308,0.0037518759379689846,0.08823529411764706,0.32608695652173914,0.9955357142857143
IN1K → Dataset 3,Cabernet Franc,0.631578947368421,0.9980064789434339,0.6,0.9982552342971087,0.00199352105656616,0.3684210526315789,0.4,0.9962797619047619
IN1K → Dataset 3,Cabernet Sauvignon,0.8421052631578947,0.9995016197358585,0.8888888888888888,0.9992526158445441,0.00049838026414154,0.15789473684210525,0.1111111111111111,0.9987599206349206
IN1K → Dataset 3,Carignon Noir,0.5789473684210527,0.9987540493396462,0.6875,0.99800796812749,0.00124595066035385,0.42105263157894735,0.3125,0.9967757936507936
IN1K → Dataset 3,Cercial,0.7708333333333334,0.9952309236947792,0.6607142857142857,0.9972334004024145,0.004769076305220884,0.22916666666666666,0.3392857142857143,0.9925595238095238
IN1K → Dataset 3,Chardonnay,0.7368421052631579,0.9987540493396462,0.7368421052631579,0.9987540493396462,0.00124595066035385,0.2631578947368421,0.2631578947368421,0.9975198412698413
IN1K → Dataset 3,Codega,0.8104838709677419,0.9813348416289592,0.8589743589743589,0.9736251402918069,0.018665158371040724,0.18951612903225806,0.14102564102564102,0.9603174603174603
IN1K → Dataset 3,Codega do Larinho,0.8441558441558441,0.9926675094816688,0.6914893617021277,0.9969527679024885,0.0073324905183312266,0.15584415584415584,0.30851063829787234,0.9898313492063492
IN1K → Dataset 3,Cornifesto,0.8333333333333334,0.997259591429995,0.5769230769230769,0.9992511233150274,0.0027404085700049826,0.16666666666666666,0.4230769230769231,0.9965277777777778
IN1K → Dataset 3,Donzelinho Branco,0.75,0.9914054600606673,0.6263736263736264,0.9951788886069526,0.008594539939332659,0.25,0.37362637362637363,0.9868551587301587
IN1K → Dataset 3,Donzelinho Tinto,0.6842105263157895,0.9992524296037877,0.8125,0.9985059760956175,0.00074757039621231,0.3157894736842105,0.1875,0.9977678571428571
IN1K → Dataset 3,Esgana Cao,0.6,0.9962518740629686,0.5454545454545454,0.9969992498124531,0.0037481259370314842,0.4,0.45454545454545453,0.9933035714285714
IN1K → Dataset 3,Fernao Pires,0.75,0.9975099601593626,0.5454545454545454,0.999002493765586,0.00249003984063745,0.25,0.45454545454545453,0.9965277777777778
IN1K → Dataset 3,Folgasao,0.6833333333333333,0.9962235649546828,0.7321428571428571,0.9952213279678068,0.0037764350453172208,0.31666666666666665,0.26785714285714285,0.9915674603174603
IN1K → Dataset 3,Gamay,0.8333333333333334,0.9995017438963627,0.8823529411764706,0.999252801992528,0.0004982561036372695,0.16666666666666666,0.11764705882352941,0.9987599206349206
IN1K → Dataset 3,Gouveio,0.6176470588235294,0.9932466233116558,0.4375,0.9967369477911646,0.006753376688344172,0.38235294117647056,0.5625,0.9900793650793651
IN1K → Dataset 3,Malvasia Corada,0.42105263157894735,0.997757288811363,0.47058823529411764,0.9972602739726028,0.00224271118863693,0.5789473684210527,0.5294117647058824,0.9950396825396826
IN1K → Dataset 3,Malvasia Fina,0.6559139784946236,0.9906067529829906,0.6224489795918368,0.9918657854600915,0.009393247017009393,0.34408602150537637,0.37755102040816324,0.9828869047619048
IN1K → Dataset 3,Malvasia Preta,0.8571428571428571,0.9962537462537463,0.6153846153846154,0.9989982469321312,0.0037462537462537465,0.14285714285714285,0.38461538461538464,0.9952876984126984
IN1K → Dataset 3,Malvasia Rei,0.5,0.9952571143285073,0.40625,0.99675,0.004742885671492761,0.5,0.59375,0.9920634920634921
IN1K → Dataset 3,Merlot,0.7894736842105263,0.9987540493396462,0.75,0.9990029910269193,0.00124595066035385,0.21052631578947367,0.25,0.9977678571428571
IN1K → Dataset 3,Moscatel Galego,0.8044642857142857,0.9814560439560439,0.9434554973821989,0.9288267793305167,0.018543956043956044,0.19553571428571428,0.05654450261780105,0.9322916666666666
